Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
United Kingdom,GBR,1920,470.75072,470.75072,0,0,,0,,10.054265
United Kingdom,GBR,1921,319.804912,318.870592,0.93432,0,,0,,7.256419
United Kingdom,GBR,1922,428.222672,426.592192,1.63048,0,,0,,9.650741
United Kingdom,GBR,1923,454.892928,452.207194,2.685734,0,,0,,10.200308
United Kingdom,GBR,1924,475.982912,472.135712,3.8472,0,,0,,10.597415
United Kingdom,GBR,1925,449.657072,445.238252,4.41882,0,,0,,9.979295
United Kingdom,GBR,1926,246.371024,241.534544,4.83648,0,,0,,5.44683
United Kingdom,GBR,1927,466.734976,460.3816,6.353376,0,,0,,10.282998
United Kingdom,GBR,1928,437.639702,431.19784,4.26856,0,2.173302,0,,9.601994
United Kingdom,GBR,1929,460.673784,454.713392,3.605376,0,2.355016,0,,10.086569
United Kingdom,GBR,1930,441.073652,434.847236,3.700609,0,2.525806,0,,9.616571
United Kingdom,GBR,1931,412.212451,406.553776,2.700368,0,2.958307,0,,8.946748
United Kingdom,GBR,1932,395.899711,390.765648,2.997124,0,2.136939,0,,8.544291
United Kingdom,GBR,1933,392.154509,386.647264,3.2976,0,2.209645,0,,8.429805
United Kingdom,GBR,1934,423.20364,416.611456,3.982768,0,2.609416,0,,9.068779
United Kingdom,GBR,1935,429.106888,422.283328,3.832544,0,2.991016,0,,9.155648
United Kingdom,GBR,1936,453.795969,446.190866,4.294243,0,3.31086,0,,9.638622
United Kingdom,GBR,1937,468.130764,460.315709,4.206239,0,3.608816,0,,9.899359
United Kingdom,GBR,1938,448.939989,439.800837,5.235899,0,3.903253,0,,9.452562
United Kingdom,GBR,1939,452.456368,447.352416,5.103952,0,,0,,9.427942
United Kingdom,GBR,1940,475.143856,470.893649,4.250207,0,,0,,9.852442
United Kingdom,GBR,1941,469.651502,463.092909,2.971527,0,3.587066,0,,9.740574
United Kingdom,GBR,1942,468.899907,463.360432,1.890624,0.003664,3.645187,0,,9.688015
United Kingdom,GBR,1943,454.820343,449.444516,1.875983,0,3.499844,0,,9.32219
United Kingdom,GBR,1944,442.024559,437.551179,2.180098,0.003664,2.289618,0,,9.017965
United Kingdom,GBR,1945,417.624399,412.929136,2.6564,0.003664,2.035199,0,,8.491407
United Kingdom,GBR,1946,436.12822,427.119808,5.704848,0,3.303564,0,,8.861333
United Kingdom,GBR,1947,461.269014,451.921498,5.851362,0,3.496154,0,,9.31499
United Kingdom,GBR,1948,475.563216,457.750848,13.534816,0,4.277552,0,,9.508602
United Kingdom,GBR,1949,485.108718,463.045328,17.433312,0,4.630078,0,,9.642008
United Kingdom,GBR,1950,500.792103,453.925291,41.967761,0,4.899051,0,,10.004824
United Kingdom,GBR,1951,545.252811,486.054853,54.048025,0.014656,5.135278,0,,10.846074
United Kingdom,GBR,1952,528.706108,469.747191,53.347472,0.01832,5.593124,0,,10.472577
United Kingdom,GBR,1953,540.21074,478.419472,56.136144,0.021984,5.63314,0,,10.649033
United Kingdom,GBR,1954,553.009696,483.95944,63.009808,0.032976,6.007472,0,,10.849723
United Kingdom,GBR,1955,576.951647,499.93313,70.705517,0.025648,6.287351,0,,11.270069
United Kingdom,GBR,1956,574.323549,494.885488,72.990544,0.03664,6.410877,0,,11.168914
United Kingdom,GBR,1957,570.714144,482.581776,82.062608,0.062288,6.007472,0,,11.042718
United Kingdom,GBR,1958,556.315842,458.868368,91.47176,0.117248,5.858466,0,,10.70645
United Kingdom,GBR,1959,546.606132,425.558682,114.591862,0.135568,6.32002,0,,10.463034
United Kingdom,GBR,1960,584.020018,448.05224,129.145008,0.150224,6.672546,0,,11.115083
United Kingdom,GBR,1961,588.614801,442.882336,138.477216,0.150224,7.105025,0,,11.13509
United Kingdom,GBR,1962,592.931499,437.313056,148.359024,0.216176,7.043243,0,,11.148759
United Kingdom,GBR,1963,603.385663,439.306534,156.840922,0.289456,6.948751,0,,11.276442
United Kingdom,GBR,1964,607.865989,426.243017,172.725665,0.512963,8.384344,0,,11.285723
United Kingdom,GBR,1965,622.111621,422.268672,189.773216,1.68544,8.384293,0,,11.471817
United Kingdom,GBR,1966,618.074666,403.344112,204.791952,1.6488,8.289802,0,,11.328244
United Kingdom,GBR,1967,592.057027,368.478872,212.114976,2.777295,8.685885,0,,10.788926
United Kingdom,GBR,1968,606.488304,370.300733,220.841606,6.265478,8.834998,0.245489,,10.993232
United Kingdom,GBR,1969,628.382547,367.944062,238.096324,12.252345,8.609569,1.480247,,11.338446
United Kingdom,GBR,1970,652.577395,352.909152,265.174672,23.105184,8.431539,2.956848,,11.726423
United Kingdom,GBR,1971,660.388217,341.418848,269.54216,37.22624,8.749481,3.451488,,11.818837
United Kingdom,GBR,1972,648.026312,293.154634,289.347715,52.659306,8.92217,3.942486,,11.560067
United Kingdom,GBR,1973,659.577095,295.860672,291.91088,56.99352,9.883943,4.92808,,11.74322
United Kingdom,GBR,1974,617.183621,263.375648,271.425456,68.161392,8.798405,5.42272,,10.975319
United Kingdom,GBR,1975,603.247048,276.199648,241.395312,71.382048,8.356344,5.913696,,10.721182
United Kingdom,GBR,1976,598.525992,274.968544,235.79672,74.038448,7.808584,5.913696,,10.63796
United Kingdom,GBR,1977,604.361731,271.090388,240.239696,79.010017,7.649972,6.371657,,10.745194
United Kingdom,GBR,1978,604.713507,259.145822,247.567653,81.523506,7.880835,8.595692,,10.752227
United Kingdom,GBR,1979,644.512763,281.572673,253.264447,89.193259,7.991736,12.490647,,11.454919
United Kingdom,GBR,1980,579.035415,260.719248,214.530864,88.423312,7.334167,8.027824,,10.280014
